#OTU_ID,Phylum,Species
New.CleanUp.ReferenceOTU36778,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU37360,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU3748,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU38084,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU38102,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU38175,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU38903,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU39073,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU39173,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU3964,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU39872,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU40090,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU41128,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU41236,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU41385,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU42294,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU43442,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU44390,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU44435,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU47006,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU47106,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU48438,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU49909,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU51112,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU52467,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU52887,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU53374,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU54468,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU54825,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU55450,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU55993,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU56008,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU56384,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU56479,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU5666,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU58421,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU59614,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU59917,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU60117,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU60351,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU60439,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU60779,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU6240,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU64145,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU64907,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU66134,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU66869,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU67082,Firmicutes,Staphylococcus aureus
